trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.7, 'e': 0.6849999999999997}",25,0,-53.73698269876653,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.7, 'e': 0.6799999999999997}",20,0,-0.37994303181962263,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.6749999999999997}",30,0,-90.73271562177888,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.6699999999999997}",20,0,-98.54657944497072,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.7, 'e': 0.6649999999999997}",20,0,-108.82736686241563,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.6599999999999997}",20,0,-70.61823490308078,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.7, 'e': 0.6549999999999997}",20,5,2.9861422337928527,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.6499999999999997}",25,17,-19.625943734766814,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.6449999999999997}",20,12,-5.632461638807651,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.6399999999999997}",20,10,11.70883372854282,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.6349999999999997}",20,0,-57.08547281041528,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.7, 'e': 0.6299999999999997}",25,0,-87.12235437705897,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.7, 'e': 0.6249999999999997}",20,0,-75.0724046845336,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.7, 'e': 0.6199999999999997}",30,0,-110.91969768766792,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
77,False,"{'a': 0.7, 'e': 0.6149999999999997}",20,0,-18.132146819682124,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.6099999999999997}",25,0,-32.2674927955526,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.7, 'e': 0.6049999999999996}",25,0,-52.14232731050006,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.5999999999999996}",20,0,-40.82124327971634,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
